place_name,description,state,view,from_date_1,to_date_1,from_date,to_date,price,original_price,price_str,rating,no_of_rates
Apartment in Neptune Township,Two Bedroom || 2.5 Blocks To The Beach,Alabama,178,4/22/2023,4/27/2023,4/22/2023,4/27/2023,160,160,$160 night$160 per night,4.8,146
Home in Sea Bright,Wake up w/ OCEAN Views in SEABRIGHT!!!,Alabama,134,4/18/2023,4/24/2023,4/18/2023,4/24/2023,199,249,"$249 $199 night$199 per night, originally $249",4.9,26
Home in Belmar,Belmar Jersey Shore Vacation Getaway,Alabama,176,4/30/2023,5/5/2023,4/30/2023,5/5/2023,309,309,$309 night$309 per night,4.8,37
Apartment in Seaside Heights,"Ocean Block apartment unit B,steps away from beach",Alabama,189,4/30/2023,5/5/2023,4/30/2023,5/5/2023,132,132,$132 night$132 per night,4.8,27
Home in Long Beach Township,Cabin by the Sea w/ parking in Beach Haven,Alabama,173,4/23/2023,4/29/2023,4/23/2023,4/29/2023,258,258,$258 night$258 per night,4.9,55
Home in Atlantic Highlands,Renovated Modern Farmhouse Near Woods and Beach,Alabama,123,5/3/2023,5/8/2023,5/3/2023,5/8/2023,399,399,$399 night$399 per night,5,15
Home in Neptune City,Brand New Bradley Park Beach House!,Alabama,143,5/11/2023,5/18/2023,5/11/2023,5/18/2023,272,320,"$320 $272 night$272 per night, originally $320",4.8,6
Vacation home in Neptune Township,Boutique Ocean Grove & Asbury Park Sea View Gem!!,Alabama,117,4/19/2023,4/24/2023,4/19/2023,4/24/2023,349,500,"$500 $349 night$349 per night, originally $500",4.9,30
Bungalow in Point Pleasant Beach,Pt. Pleasant Bch bungalow 60 steps from Beach,Alabama,188,4/18/2023,4/23/2023,4/18/2023,4/23/2023,225,265,"$265 $225 night$225 per night, originally $265",4.9,33
Condo in Beach Haven,Good Times & Tan Lines @ the Victoria Rose,Alabama,133,4/18/2023,4/23/2023,4/18/2023,4/23/2023,199,199,$199 night$199 per night,4.8,22
Vacation home in Manasquan,Sunny Beach House with Ocean View,Alabama,123,8/1/2023,8/6/2023,8/1/2023,8/6/2023,704,704,$704 night$704 per night,4.9,15
Cottage in Seaside Park,"Beach Getaway - 3BR,A/C,1 Block to Beach 6 badges",Alabama,207,4/18/2023,4/23/2023,4/18/2023,4/23/2023,150,213,"$213 $150 night$150 per night, originally $213",4.8,145
Vacation home in Seaside Heights,Oceanview Beachfront Sleeps 12 w/ Hot Tub,Alabama,357,4/18/2023,4/23/2023,4/18/2023,4/23/2023,535,599,"$599 $535 night$535 per night, originally $599",4.9,22
Home in Stafford Township,The Mullet House-Business in front…party in back !,Alabama,151,4/21/2023,4/26/2023,4/21/2023,4/26/2023,300,300,$300 night$300 per night,5,18
Cottage in Seaside Heights,"Cute cottage 300 ft to beach, off-street parking",Alabama,222,4/18/2023,4/23/2023,4/18/2023,4/23/2023,255,255,$255 night$255 per night,4.9,12
Home in New Hope,Charming Victorian in the heart of New Hope,Alabama,114,5/2/2023,5/7/2023,5/2/2023,5/7/2023,257,257,$257 night$257 per night,4.9,166
Cottage in Ship Bottom,Adorable 2 Bedroom Bayfront Cottage,Alabama,137,4/24/2023,4/29/2023,4/24/2023,4/29/2023,241,241,$241 night$241 per night,4.8,9
Apartment in Highlands,NJ Shore/Waterview/Beach Escape/Sandy Hook,Alabama,149,5/18/2023,5/23/2023,5/18/2023,5/23/2023,215,215,$215 night$215 per night,4.9,82
Home in Lavallette,"Ocean View Beach Getaway 3BR, 2Bath, A/C, 8 badges",Alabama,286,6/11/2023,6/16/2023,6/11/2023,6/16/2023,799,799,$799 night$799 per night,4.9,168
Vacation home in Stafford Township,The Marsh Bungalow - a NEW Home 2 miles from LBI!,Alabama,272,5/29/2023,6/3/2023,5/29/2023,6/3/2023,410,410,$410 night$410 per night,4.9,23
Home in Asbury Park,Stunning Beach Retreat - Entire Home,Alabama,122,9/13/2023,9/18/2023,9/13/2023,9/18/2023,NA,NA,"$1,370 night$1,370 per night",5,17
Townhouse in Seaside Heights,3BR 2BA One-Block Walk to Seaside Hgts Boardwalk,Alabama,165,4/29/2023,5/4/2023,4/29/2023,5/4/2023,225,225,$225 night$225 per night,4.8,110
Place to stay in Lambertville,Quaint Cottage in Lambertville,Alabama,140,4/24/2023,4/29/2023,4/24/2023,4/29/2023,179,179,$179 night$179 per night,4.9,329
Home in Stafford Township,"5 Bedroom Water Front Home, Minutes from LBI!",Alabama,105,5/8/2023,5/15/2023,5/8/2023,5/15/2023,559,559,$559 night$559 per night,4.9,30
Home in Barnegat Light,2 Night Minimum LBI Barnegat Light NJ 2 BR 1 B,Alaska,257,4/23/2023,4/30/2023,4/23/2023,4/30/2023,140,178,"$178 $140 night$140 per night, originally $178",4.9,205
Private room in Seaside Heights,Ortley Beach,Alaska,234,5/7/2023,5/13/2023,5/7/2023,5/13/2023,52,52,$52 night$52 per night,4.8,321
Private room in Beachwood,"Almost ""down by the river side"" (green room)",Alaska,134,4/28/2023,5/5/2023,4/28/2023,5/5/2023,68,68,$68 night$68 per night,4.9,181
Home in Berlin,100% Private Fits 1 to 9 Guests,Alaska,178,4/23/2023,4/28/2023,4/23/2023,4/28/2023,69,99,"$99 $69 night$69 per night, originally $99",4.8,41
Cottage in Lake Como,Sea Glass & Lavender Cottage,Alaska,236,5/8/2023,5/14/2023,5/8/2023,5/14/2023,103,142,"$142 $103 night$103 per night, originally $142",4.9,70
Guesthouse in Lawrence Township,Adorable studio cottage near Princeton,Alaska,156,4/29/2023,5/4/2023,4/29/2023,5/4/2023,116,116,$116 night$116 per night,4.8,93
Farm stay in Pemberton,Private Apartment. Welcome to the farm!,Alaska,131,4/30/2023,5/5/2023,4/30/2023,5/5/2023,129,129,$129 night$129 per night,4.9,205
Private room in Asbury Park,Large private bedroom in Asbury Park,Alaska,216,4/23/2023,4/28/2023,4/23/2023,4/28/2023,60,60,$60 night$60 per night,4.9,61
Private room in New Brunswick,Rm #3 Lg Private Rm by Rutgers+NYC + Jersey Shore,Alaska,146,4/27/2023,5/2/2023,4/27/2023,5/2/2023,55,55,$55 night$55 per night,4.9,664
Home in Hammonton,Sweetwater House on the Mullica River,Alaska,139,4/18/2023,4/23/2023,4/18/2023,4/23/2023,398,398,$398 night$398 per night,4.9,21
Home in Berkeley Township,Sunsets that never quit!,Alaska,309,4/23/2023,4/28/2023,4/23/2023,4/28/2023,195,250,"$250 $195 night$195 per night, originally $250",4.9,155
Apartment in Langhorne,Glamorous Marilyn Monroe Suite in Bucks County,Alaska,182,4/19/2023,4/24/2023,4/19/2023,4/24/2023,200,200,$200 night$200 per night,5,18
Condo in Hopewell,Private apartment in 1890’s chocolate factory.,Alaska,153,5/7/2023,5/12/2023,5/7/2023,5/12/2023,175,175,$175 night$175 per night,4.8,82
Home in Little Egg Harbor Township,Blue Lagoon Retreat w/ Dock & Water Toys!,Alaska,124,4/23/2023,4/28/2023,4/23/2023,4/28/2023,159,179,"$179 $159 night$159 per night, originally $179",4.9,46
Private room in Manasquan,The Sea Loft,Alaska,321,5/29/2023,6/5/2023,5/29/2023,6/5/2023,133,148,"$148 $133 night$133 per night, originally $148",4.9,63
Home in Neptune Township,The Stockton - Victorian Ocean Grove near Asbury,Alaska,237,4/27/2023,5/3/2023,4/27/2023,5/3/2023,163,163,$163 night$163 per night,4.9,272
Cabin in Medford,Medford Lake! Pine Barrens Lakefront Beach Resort!,Alaska,234,4/23/2023,4/28/2023,4/23/2023,4/28/2023,355,355,$355 night$355 per night,5,20
Home in Red Bank,Quiet 2 bedroom with resort setting,Alaska,140,4/24/2023,4/29/2023,4/24/2023,4/29/2023,150,150,$150 night$150 per night,4.9,43
Home in Red Bank,Quiet 2 bedroom with resort setting,Alaska,140,4/24/2023,4/29/2023,4/24/2023,4/29/2023,150,150,$150 night$150 per night,4.9,43
Apartment in Wall Township,"Beautiful Apartment, near Marina & Beach in Belmar",Alaska,124,4/20/2023,4/26/2023,4/20/2023,4/26/2023,154,154,$154 night$154 per night,4.8,43
Home in Keansburg,Welcome to Paradise!!! The perfect beach cottage!,Alaska,166,4/23/2023,4/28/2023,4/23/2023,4/28/2023,247,247,$247 night$247 per night,4.8,29
Cottage in Middletown,Cozy Cottage Retreat on North Jersey Shore,Alaska,104,4/25/2023,4/30/2023,4/25/2023,4/30/2023,149,149,$149 night$149 per night,4.9,90
Apartment in Asbury Park,"Asbury Park Gem #3, Sleeps up to 4 in 1bd apt.!",Alaska,235,5/15/2023,5/20/2023,5/15/2023,5/20/2023,154,154,$154 night$154 per night,4.9,81
Condo in Long Beach Township,Cozy LBI Studio close to the beach.,Alaska,211,4/23/2023,4/28/2023,4/23/2023,4/28/2023,109,109,$109 night$109 per night,4.9,412
Home in Princeton,Einstein Lounge in Downtown-2 BR w/Loft & Parking,Alaska,106,4/29/2023,5/4/2023,4/29/2023,5/4/2023,265,265,$265 night$265 per night,4.9,142
Apartment in Point Pleasant Beach,Close to beach,Alaska,125,5/6/2023,5/13/2023,5/6/2023,5/13/2023,144,144,$144 night$144 per night,4.8,309
Home in Seaside Heights,Comfortable Trendy seaside home,Alaska,701,4/23/2023,4/28/2023,4/23/2023,4/28/2023,120,120,$120 night$120 per night,5,14
Bungalow in Lavallette,Ocean Beach III Shore Bungalow,Alaska,113,4/18/2023,4/23/2023,4/18/2023,4/23/2023,150,200,"$200 $150 night$150 per night, originally $200",4.9,53
Apartment in Neptune Township,Two Bedroom || 2.5 Blocks To The Beach,Alaska,178,4/22/2023,4/27/2023,4/22/2023,4/27/2023,160,160,$160 night$160 per night,4.8,146
Cottage in Ship Bottom,Adorable 2 Bedroom Bayfront Cottage,Alaska,137,4/24/2023,4/29/2023,4/24/2023,4/29/2023,241,241,$241 night$241 per night,4.8,9
Home in Red Bank,Freshly renovated 1 mile from Downtown Redbank,Alaska,120,4/30/2023,5/5/2023,4/30/2023,5/5/2023,199,199,$199 night$199 per night,4.9,32
Condo in Matawan,"1 Bedroom,1 Bath,1 Full Kit,1 Liv Rm Furnished 311",Alaska,214,5/7/2023,5/12/2023,5/7/2023,5/12/2023,99,99,$99 night$99 per night,4.8,85
Apartment in Hammonton,Casa de Sweetwater- 3 bedroom- Waterfront,Alaska,105,4/19/2023,4/24/2023,4/19/2023,4/24/2023,360,360,$360 night$360 per night,5,39
Condo in Seaside Heights,"FANTASTIC -2 BR, 2 Blocks to beach, pool, balcony",Alaska,145,4/23/2023,4/28/2023,4/23/2023,4/28/2023,119,119,$119 night$119 per night,4.9,25
Home in Ewing Township,Cozy 2-bedroom home on quiet dead end street,Alaska,288,4/24/2023,4/29/2023,4/24/2023,4/29/2023,100,100,$100 night$100 per night,4.8,110
Home in Ocean Gate,"Modern Beach Town Home, Heated Pool Hot & Tub",Alaska,262,4/18/2023,4/23/2023,4/18/2023,4/23/2023,490,490,$490 night$490 per night,4.9,48
Home in Point Pleasant Beach,Walk To Beach From Stylish Home,Alaska,541,4/18/2023,4/23/2023,4/18/2023,4/23/2023,262,350,"$350 $262 night$262 per night, originally $350",4.9,11
Cottage in Seaside Park,"Beach Getaway - 3BR,A/C,1 Block to Beach 6 badges",Alaska,207,4/18/2023,4/23/2023,4/18/2023,4/23/2023,150,213,"$213 $150 night$150 per night, originally $213",4.8,145
Home in Monroe Township,Experience the perfect blend of nature & comfort!,Alaska,108,5/13/2023,5/18/2023,5/13/2023,5/18/2023,117,117,$117 night$117 per night,4.9,68
Home in Long Branch,New house! 3 blocks to the beach!,Alaska,600,5/21/2023,5/26/2023,5/21/2023,5/26/2023,420,420,$420 night$420 per night,5,19
Condo in Seaside Park,Cozy Seaside Park Condo,Alaska,151,4/24/2023,4/30/2023,4/24/2023,4/30/2023,85,100,"$100 $85 night$85 per night, originally $100",4.9,29
Tiny home in Belmar,Best Couples Retreat Greatest Location of Belmar,Alaska,183,4/30/2023,5/5/2023,4/30/2023,5/5/2023,220,220,$220 night$220 per night,4.8,135
Home in Lavallette,Shore Haven Walk to beach and bay,Alaska,120,5/4/2023,5/9/2023,5/4/2023,5/9/2023,260,260,$260 night$260 per night,5,87
Apartment in Asbury Park,"Peewees Beach House - 2 bedroom, 1 Bathroom",Alaska,105,4/21/2023,4/27/2023,4/21/2023,4/27/2023,195,195,$195 night$195 per night,5,26
Vacation home in Neptune Township,Boutique Ocean Grove & Asbury Park Sea View Gem!!,Alaska,117,4/19/2023,4/24/2023,4/19/2023,4/24/2023,349,500,"$500 $349 night$349 per night, originally $500",4.9,30
Apartment in Seaside Heights,Beautiful Beach Block Retreat (1305-3),Alaska,233,4/27/2023,5/2/2023,4/27/2023,5/2/2023,240,240,$240 night$240 per night,4.8,84
Home in Manasquan,Manasquan Mermaid Manor LLC,Alaska,257,4/18/2023,4/23/2023,4/18/2023,4/23/2023,250,250,$250 night$250 per night,4.9,71
Cottage in Seaside Heights,"Cute cottage 300 ft to beach, off-street parking",Alaska,222,4/18/2023,4/23/2023,4/18/2023,4/23/2023,255,255,$255 night$255 per night,4.9,12
Home in Neptune City,Brand New Bradley Park Beach House!,Alaska,143,5/11/2023,5/18/2023,5/11/2023,5/18/2023,272,320,"$320 $272 night$272 per night, originally $320",4.8,6
Bungalow in Point Pleasant Beach,Pt. Pleasant Bch bungalow 60 steps from Beach,Alaska,188,4/18/2023,4/23/2023,4/18/2023,4/23/2023,225,265,"$265 $225 night$225 per night, originally $265",4.9,33
Home in Stafford Township,The Mullet House-Business in front…party in back !,Alaska,151,4/21/2023,4/26/2023,4/21/2023,4/26/2023,300,300,$300 night$300 per night,5,18
Vacation home in Manasquan,Sunny Beach House with Ocean View,Alaska,123,8/1/2023,8/6/2023,8/1/2023,8/6/2023,704,704,$704 night$704 per night,4.9,15
Home in Long Beach Township,Cabin by the Sea w/ parking in Beach Haven,Alaska,173,4/23/2023,4/29/2023,4/23/2023,4/29/2023,258,258,$258 night$258 per night,4.9,55
Home in Point Pleasant Beach,Point Pleasant Beach -Ocean Ave Rental# # 2,Alaska,100,4/22/2023,4/28/2023,4/22/2023,4/28/2023,204,204,$204 night$204 per night,4.8,42
Home in Belmar,Renovated Home with a Spacious Yard,Alaska,114,4/19/2023,4/24/2023,4/19/2023,4/24/2023,221,253,"$253 $221 night$221 per night, originally $253",4.8,93
Vacation home in Stafford Township,The Marsh Bungalow - a NEW Home 2 miles from LBI!,Alaska,272,5/29/2023,6/3/2023,5/29/2023,6/3/2023,410,410,$410 night$410 per night,4.9,23
Townhouse in Beach Haven,Loft Style 1 Bedroom In The Heart of Beach Haven!,Alaska,157,5/12/2023,5/17/2023,5/12/2023,5/17/2023,345,345,$345 night$345 per night,4.9,32
Home in Asbury Park,Stunning Beach Retreat - Entire Home,Alaska,122,9/13/2023,9/18/2023,9/13/2023,9/18/2023,NA,NA,"$1,370 night$1,370 per night",5,17
Townhouse in Seaside Heights,3BR 2BA One-Block Walk to Seaside Hgts Boardwalk,Alaska,165,4/29/2023,5/4/2023,4/29/2023,5/4/2023,225,225,$225 night$225 per night,4.8,110
Vacation home in Seaside Heights,Oceanview Beachfront Sleeps 12 w/ Hot Tub,Alaska,357,4/18/2023,4/23/2023,4/18/2023,4/23/2023,535,599,"$599 $535 night$535 per night, originally $599",4.9,22
Home in Spring Lake,On Golden Pond,Alaska,223,4/19/2023,4/24/2023,4/19/2023,4/24/2023,NA,NA,"$1,012 night$1,012 per night",4.9,45
Place to stay in Lambertville,Quaint Cottage in Lambertville,Alaska,140,4/24/2023,4/29/2023,4/24/2023,4/29/2023,179,179,$179 night$179 per night,4.9,329
Home in Stafford Township,"5 Bedroom Water Front Home, Minutes from LBI!",Alaska,105,5/8/2023,5/15/2023,5/8/2023,5/15/2023,559,559,$559 night$559 per night,4.9,30
Private room in Seaside Heights,Ortley Beach,Arizona,234,5/7/2023,5/13/2023,5/7/2023,5/13/2023,52,52,$52 night$52 per night,4.8,321
Home in Berlin,100% Private Fits 1 to 9 Guests,Arizona,178,4/23/2023,4/28/2023,4/23/2023,4/28/2023,69,99,"$99 $69 night$69 per night, originally $99",4.8,41
Cottage in Lake Como,Sea Glass & Lavender Cottage,Arizona,236,5/8/2023,5/14/2023,5/8/2023,5/14/2023,103,142,"$142 $103 night$103 per night, originally $142",4.9,70
Private room in Beachwood,"Almost ""down by the river side"" (green room)",Arizona,134,4/28/2023,5/5/2023,4/28/2023,5/5/2023,68,68,$68 night$68 per night,4.9,181
Guesthouse in Lawrence Township,Adorable studio cottage near Princeton,Arizona,156,4/29/2023,5/4/2023,4/29/2023,5/4/2023,116,116,$116 night$116 per night,4.8,93
Home in Barnegat Light,2 Night Minimum LBI Barnegat Light NJ 2 BR 1 B,Arizona,257,4/23/2023,4/30/2023,4/23/2023,4/30/2023,140,178,"$178 $140 night$140 per night, originally $178",4.9,205
Apartment in Langhorne,Glamorous Marilyn Monroe Suite in Bucks County,Arizona,182,4/19/2023,4/24/2023,4/19/2023,4/24/2023,200,200,$200 night$200 per night,5,18
Private room in Asbury Park,Large private bedroom in Asbury Park,Arizona,216,4/23/2023,4/28/2023,4/23/2023,4/28/2023,60,60,$60 night$60 per night,4.9,61
Home in Monroe Township,Experience the perfect blend of nature & comfort!,Arizona,108,5/13/2023,5/18/2023,5/13/2023,5/18/2023,117,117,$117 night$117 per night,4.9,68
Private room in Manasquan,The Sea Loft,Arizona,321,5/29/2023,6/5/2023,5/29/2023,6/5/2023,133,148,"$148 $133 night$133 per night, originally $148",4.9,63
Private room in New Brunswick,Rm #3 Lg Private Rm by Rutgers+NYC + Jersey Shore,Arizona,146,4/27/2023,5/2/2023,4/27/2023,5/2/2023,55,55,$55 night$55 per night,4.9,664
Condo in Hopewell,Private apartment in 1890’s chocolate factory.,Arizona,153,5/7/2023,5/12/2023,5/7/2023,5/12/2023,175,175,$175 night$175 per night,4.8,82
Farm stay in Pemberton,Private Apartment. Welcome to the farm!,Arizona,131,4/30/2023,5/5/2023,4/30/2023,5/5/2023,129,129,$129 night$129 per night,4.9,205
Private room in Red Bank,Red Bank ~ a cool little town at the Jersey Shore,Arizona,151,6/7/2023,6/12/2023,6/7/2023,6/12/2023,95,95,$95 night$95 per night,4.9,242
Home in Little Egg Harbor Township,Blue Lagoon Retreat w/ Dock & Water Toys!,Arizona,124,4/23/2023,4/28/2023,4/23/2023,4/28/2023,159,179,"$179 $159 night$159 per night, originally $179",4.9,46
Home in Red Bank,Quiet 2 bedroom with resort setting,Arizona,140,4/24/2023,4/29/2023,4/24/2023,4/29/2023,150,150,$150 night$150 per night,4.9,43
Home in Ewing Township,Cozy 2-bedroom home on quiet dead end street,Arizona,288,4/24/2023,4/29/2023,4/24/2023,4/29/2023,100,100,$100 night$100 per night,4.8,110
Cabin in Medford,Medford Lake! Pine Barrens Lakefront Beach Resort!,Arizona,234,4/23/2023,4/28/2023,4/23/2023,4/28/2023,355,355,$355 night$355 per night,5,20
Home in Berkeley Township,Sunsets that never quit!,Arizona,309,4/23/2023,4/28/2023,4/23/2023,4/28/2023,195,250,"$250 $195 night$195 per night, originally $250",4.9,155
Apartment in Wall Township,"Beautiful Apartment, near Marina & Beach in Belmar",Arizona,124,4/20/2023,4/26/2023,4/20/2023,4/26/2023,154,154,$154 night$154 per night,4.8,43
Home in Keansburg,Welcome to Paradise!!! The perfect beach cottage!,Arizona,166,4/23/2023,4/28/2023,4/23/2023,4/28/2023,247,247,$247 night$247 per night,4.8,29
Cottage in Middletown,Cozy Cottage Retreat on North Jersey Shore,Arizona,104,4/25/2023,4/30/2023,4/25/2023,4/30/2023,149,149,$149 night$149 per night,4.9,90
Home in Hammonton,Sweetwater House on the Mullica River,Arizona,139,4/18/2023,4/23/2023,4/18/2023,4/23/2023,398,398,$398 night$398 per night,4.9,21
Home in Seaside Heights,Comfortable Trendy seaside home,Arizona,701,4/23/2023,4/28/2023,4/23/2023,4/28/2023,120,120,$120 night$120 per night,5,14
Condo in Long Beach Township,Cozy LBI Studio close to the beach.,Arizona,211,4/23/2023,4/28/2023,4/23/2023,4/28/2023,109,109,$109 night$109 per night,4.9,412
Home in Neptune Township,The Stockton - Victorian Ocean Grove near Asbury,Arizona,237,4/27/2023,5/3/2023,4/27/2023,5/3/2023,163,163,$163 night$163 per night,4.9,272
Apartment in Asbury Park,"Asbury Park Gem #3, Sleeps up to 4 in 1bd apt.!",Arizona,235,5/15/2023,5/20/2023,5/15/2023,5/20/2023,154,154,$154 night$154 per night,4.9,81
Home in Princeton,Einstein Lounge in Downtown-2 BR w/Loft & Parking,Arizona,106,4/29/2023,5/4/2023,4/29/2023,5/4/2023,265,265,$265 night$265 per night,4.9,142
Apartment in Point Pleasant Beach,Close to beach,Arizona,125,5/6/2023,5/13/2023,5/6/2023,5/13/2023,144,144,$144 night$144 per night,4.8,309
Bungalow in Lavallette,Ocean Beach III Shore Bungalow,Arizona,113,4/18/2023,4/23/2023,4/18/2023,4/23/2023,150,200,"$200 $150 night$150 per night, originally $200",4.9,53
Apartment in Neptune Township,Two Bedroom || 2.5 Blocks To The Beach,Arizona,178,4/22/2023,4/27/2023,4/22/2023,4/27/2023,160,160,$160 night$160 per night,4.8,146
Cottage in Lavallette,Cute Cottage,Arizona,312,5/14/2023,5/19/2023,5/14/2023,5/19/2023,118,155,"$155 $118 night$118 per night, originally $155",4.9,91
Home in Allentown,Hidden Pond Farm Estates featuring a huge pool,Arizona,202,NA,NA,NA,NA,NA,NA,"$1,083 CAD night$1,083 CAD per night",4.9,144
Bungalow in Point Pleasant Beach,"Beach Bungalow w/WiFi, 40% off weekdays in April!",Arizona,224,5/6/2023,5/11/2023,5/6/2023,5/11/2023,425,425,$425 CAD night$425 CAD per night,4.9,145
Home in Lavallette,Shore Haven Walk to beach and bay,Arizona,120,5/4/2023,5/9/2023,5/4/2023,5/9/2023,466,466,$466 CAD night$466 CAD per night,5,87
Bungalow in Belmar,Belmar MelaMare ½ blk beach 2BR/1BA Sunday CheckIn,Arizona,116,NA,NA,NA,NA,447,447,$447 CAD night$447 CAD per night,5,38
Condo in Seaside Heights,Bayside bungalow just a few blocks from the beach,Arizona,128,NA,NA,NA,NA,293,293,$293 CAD night$293 CAD per night,4.9,71
Home in New Hope,Charming Victorian in the heart of New Hope,Arizona,114,5/2/2023,5/7/2023,5/2/2023,5/7/2023,452,452,$452 CAD night$452 CAD per night,4.9,166
Condo in Beach Haven,Good Times & Tan Lines @ the Victoria Rose,Arizona,133,4/18/2023,4/23/2023,4/18/2023,4/23/2023,199,199,$199 night$199 per night,4.8,22
Home in Point Pleasant Beach,Walk To Beach From Stylish Home,Arizona,541,4/23/2023,4/28/2023,4/23/2023,4/28/2023,263,343,"$343 $263 night$263 per night, originally $343",4.9,11
Home in Belmar,"Cheerful Home, 3B, 3B, 2 Blocks to the Ocean",Arizona,268,5/7/2023,5/12/2023,5/7/2023,5/12/2023,250,300,"$300 $250 night$250 per night, originally $300",5,23
Apartment in Seaside Heights,"Ocean Block apartment unit B,steps away from beach",Arizona,189,4/30/2023,5/5/2023,4/30/2023,5/5/2023,132,132,$132 night$132 per night,4.8,27
